title,url,published_at,video_id
Macromolecules by BuiltInMacro + 2 coins [Easy Demon],https://youtu.be/5Vsf5vEeiXk,2022-08-30T20:28:34Z,5Vsf5vEeiXk
Mother's defeat!,https://youtu.be/5V_NkTdz7jc,2022-08-23T15:17:52Z,5V_NkTdz7jc
Horizon by Mylon [Easy Demon],https://youtu.be/8REVFZ5lPNU,2022-08-22T08:56:49Z,8REVFZ5lPNU
Mirror Force by Dudex + 3 coins [Easy Demon],https://youtu.be/DUMx_SAsq1c,2022-08-21T09:23:59Z,DUMx_SAsq1c
The Robotic Rush by Andromeda GMD + 3 coins [Easy Demon],https://youtu.be/uQx2GxrTk-w,2022-08-20T20:15:18Z,uQx2GxrTk-w
Energetic Stardust by Vitol64 + 1 coin [Easy Demon],https://youtu.be/tUYARBvuIh4,2022-08-15T15:18:26Z,tUYARBvuIh4
ClubstepDynamix by ZenthicAlpha [Easy Demon],https://youtu.be/WSGhhMkTffk,2022-08-15T12:45:18Z,WSGhhMkTffk
Delusion by HTigerzGD + 3 coins [Easy Demon],https://youtu.be/BIrO1DVfxBc,2022-08-15T10:31:21Z,BIrO1DVfxBc
(Mobile) Opitonia by ZelLink [Top 23 hard level],https://youtu.be/IUO3T4Mfyqw,2022-08-11T14:47:05Z,IUO3T4Mfyqw
Triptych by bpdole [Easy Demon],https://youtu.be/-wiYa7daQ6o,2022-08-10T14:38:42Z,-wiYa7daQ6o
Memory Mode! I PXTTXRN SXXKXR by Viot + 2 coins [Easy Demon],https://youtu.be/Avtk7PsvXpY,2022-08-06T15:41:20Z,Avtk7PsvXpY
(Mobile) Sand Valley by ZelLink [Top 24 hard level],https://youtu.be/OVv2bmnb4DM,2022-08-06T06:39:09Z,OVv2bmnb4DM
(Mobile) The Paradise by C4rpeDiem + 3 coins [Top 25 hard level],https://youtu.be/5Vvon5XHgO8,2022-08-06T06:26:20Z,5Vvon5XHgO8
Literally 1 attempt! II Luster by eopc [Easy Demon],https://youtu.be/t0HCBtBAsik,2022-07-30T15:28:37Z,t0HCBtBAsik
Lava Temple by Michigun [Medium Demon],https://youtu.be/wUuJt7xeukQ,2022-07-28T16:53:53Z,wUuJt7xeukQ
Ratstep by Player [Easy Demon],https://youtu.be/vD__C78243E,2022-07-28T15:11:51Z,vD__C78243E
Fire Temple by Michigun [Easy Demon],https://youtu.be/RQcfsG2a4S0,2022-07-26T12:29:27Z,RQcfsG2a4S0
InsisiouS by Wintter + 2 coins [Easy Demon],https://youtu.be/3UUgJBl2Y_c,2022-07-26T11:33:44Z,3UUgJBl2Y_c
(Mobile) A Bizarre Phantasm 39% [Extreme Demon],https://youtu.be/ilwyVuKVhI0,2022-07-25T17:21:14Z,ilwyVuKVhI0
FUGACIOUS II by IIAnubisI + 3 coins [Easy Demon],https://youtu.be/mja4ZwcEzoo,2022-07-23T15:58:21Z,mja4ZwcEzoo
Dark hell by Partition + 3 coins [Medium Demon],https://youtu.be/A5NLcRR_aDA,2022-07-22T13:29:44Z,A5NLcRR_aDA
FunkStep by AeonAir [Easy Demon],https://youtu.be/9ZgLraIt1dA,2022-07-19T07:42:15Z,9ZgLraIt1dA
(Mobile) Silent Clubstep 4%,https://youtu.be/lq17eTysUks,2022-07-18T01:41:17Z,lq17eTysUks
Dark Hell by LaZye + 3 coins [Easy Demon],https://youtu.be/Pm57PdtG1UI,2022-07-13T10:20:50Z,Pm57PdtG1UI
Gamers by Leoftime + 3 coins [Easy Demon],https://youtu.be/Biebvsd5W_4,2022-07-13T10:00:47Z,Biebvsd5W_4
Grenate by Grenate [Easy Demon],https://youtu.be/l9iq0jlX0Do,2022-07-13T08:39:46Z,l9iq0jlX0Do
Rainbow Road by Elvii [Easy Demon],https://youtu.be/4zSYYyVJYAY,2022-07-12T16:18:10Z,4zSYYyVJYAY
Flower Crown by Split72 [Easy Demon],https://youtu.be/uZV_XtLoC0E,2022-07-11T15:32:49Z,uZV_XtLoC0E
(3rd mobile victor) Hate War by Stormfly & more [Extreme Demon],https://youtu.be/YW0kytC3gPs,2022-07-05T17:53:18Z,YW0kytC3gPs
(Mobile) Hate War 72%x2,https://youtu.be/EkJ_Rf1BLZw,2022-07-04T15:53:06Z,EkJ_Rf1BLZw
