answer,all_count,all_pct,null_count,null_pct,diff_pct
animals,2265,7.95909761754164,550,7.776049766718507,-0.18304785082313302
diy,2262,7.9485557663925785,574,8.115368301993495,0.1668125356009167
arts,2216,7.786914048773632,567,8.016400395871624,0.22948634709799265
music,2181,7.66392578536791,550,7.776049766718507,0.11212398135059676
outdoor,2113,7.42497715932251,531,7.50742259295914,0.0824454336366296
cooking,2051,7.2071122355752335,522,7.38017814223102,0.17306590665578625
learning,1871,6.574601166631528,458,6.475328714831048,-0.09927245180047972
reading,1476,5.186590765338393,383,5.414958292096706,0.22836752675831296
history,1474,5.179562864572352,341,4.821150855365474,-0.3584120092068783
travel,1456,5.116311757677981,363,5.132192846034215,0.015881088356233697
dance,1401,4.923044486611849,344,4.863565672274848,-0.05947881433700086
movies,1275,4.480286738351254,300,4.241481690937367,-0.2388050474138872
fashion,1257,4.4170356314568835,348,4.9201187614873465,0.503083130030463
business,1178,4.139433551198257,275,3.8880248833592534,-0.25140866783900373
gardening,1171,4.1148358985171125,259,3.661812526509261,-0.4530233720078516
sports,825,2.8990090659919883,198,2.7993779160186625,-0.09963114997332578
family,761,2.6741162414786706,197,2.785239643715538,0.11112340223686745
writing,673,2.3648886077728584,179,2.530750742259296,0.16586213448643772
technology,552,1.9397006114273665,134,1.8945284886186908,-0.04517212280867566
